stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,fidelity_median,fidelity_iqr,abs_delta_median,edges_selected_median,feats_selected_median,runtime_sec,n_nodes_evaluated,n_nodes_requested,n_failures,fidelity_std,seed_runs,selection_sum,nodes_with_variability,mask_var_median,mask_var_iqr,mask_var_std,feature_mask_var_median,edge_mask_var_median,node_seed_runs_min
A,0.001,0.1,1e-12,1e-12,0.01,150,0.031928351148962975,0.6254964601248503,0.027672773227095604,6.0,12.5,63.30464829993434,30.0,30.0,0.0,0.009161026707885822,5,18.5,30,0.07748282534542823,0.03589405090410872,0.025775461526363407,0.021958817667062445,0.13539209061951446,5.0
A,0.1,1e-06,1e-12,1e-12,0.01,150,0.030168583616614342,0.741843955591321,0.02407793328166008,1.0,12.5,53.672936099930666,30.0,30.0,0.0,0.007365632497704541,5,13.5,30,0.01850746250494361,0.010814844146399626,0.012648999610435684,0.018777649406820036,0.014487106435927566,5.0
A,0.1,1e-05,1e-12,1e-12,0.01,150,0.030168583616614342,0.741843955591321,0.02407793328166008,1.0,12.5,69.5280351000838,30.0,30.0,0.0,0.007365632497704541,5,13.5,30,0.0185075199799326,0.010814756923942822,0.012649039640976613,0.018777647064487105,0.014486874662558212,5.0
A,0.1,0.0001,1e-12,1e-12,0.01,150,0.030168583616614342,0.741843955591321,0.02407793328166008,1.0,12.5,51.29556510003749,30.0,30.0,0.0,0.007365632497704541,5,13.5,30,0.018508073743054423,0.010813905625565856,0.012649338484658247,0.01877771273204571,0.014484510597478432,5.0
A,0.1,0.001,1e-12,1e-12,0.01,150,0.030168583616614342,0.741843955591321,0.02407793328166008,1.0,12.5,51.39982509997208,30.0,30.0,0.0,0.007365632497704541,5,13.5,30,0.018513387808856613,0.010805515941427105,0.012689946192996033,0.018779013060702877,0.014460914749847004,5.0
A,0.1,0.01,1e-12,1e-12,0.01,150,0.030168583616614342,0.741843955591321,0.023862825706601143,1.0,12.5,51.38523660006467,30.0,30.0,0.0,0.007365632497704541,5,13.5,30,0.018540810194476825,0.010717902925831588,0.012461766781876804,0.018793746169921723,0.014227340299287907,5.0
A,0.1,0.1,1e-12,1e-12,0.01,150,0.030168583616614342,0.7887484794482589,0.023862825706601143,1.0,12.5,51.24430429993663,30.0,30.0,0.0,0.006336665743389488,5,13.5,30,0.017193900506511574,0.009764367062984995,0.013844711148286684,0.019612849675646894,0.012452445626699093,5.0
A,1e-06,1.0,1e-12,1e-12,0.01,150,0.03010370582342148,0.6344896047376096,0.02472858689725399,7.0,12.5,51.349920699954964,30.0,30.0,0.0,0.007213610049321005,5,19.5,30,0.0826557264022343,0.03521825556550312,0.024136550727977706,0.021960436758076116,0.1437046602413013,5.0
A,1e-05,1.0,1e-12,1e-12,0.01,150,0.03010370582342148,0.6344896047376096,0.02472858689725399,7.0,12.5,45.292863599956036,30.0,30.0,0.0,0.007213610049321005,5,19.5,30,0.08265584528578804,0.035218458413711504,0.024136657968504914,0.02196041426299716,0.1437046592238377,5.0
A,0.0001,1.0,1e-12,1e-12,0.01,150,0.03010370582342148,0.6344896047376096,0.02472858689725399,7.0,12.5,52.923881199909374,30.0,30.0,0.0,0.007213610049321005,5,19.5,30,0.08265694811232513,0.03521997824333174,0.024137577388203837,0.021960240355474017,0.1437018453940892,5.0
A,0.001,1.0,1e-12,1e-12,0.01,150,0.03010370582342148,0.650310839060694,0.02472858689725399,7.0,12.5,63.597005299991,30.0,30.0,0.0,0.007213610049321005,5,19.5,30,0.08266700370856604,0.03524377493630443,0.024087643951346962,0.02195879145224938,0.14370107088165066,5.0
A,0.01,1.0,1e-12,1e-12,0.01,150,0.03010370582342148,0.6542284884490073,0.02472858689725399,6.0,12.5,55.46080390003044,30.0,30.0,0.0,0.007213610049321005,5,18.5,30,0.0802532037538286,0.02647929189608074,0.02210167391337006,0.021954990497101506,0.14405428791225325,5.0
A,0.01,0.1,1e-12,1e-12,0.01,150,0.029562216252088547,0.834065601695329,0.02911171317100525,3.0,13.0,51.722524799988605,30.0,30.0,0.0,0.008312364337702296,5,16.0,30,0.05292988190017083,0.027360542739049767,0.02257536936383559,0.02165447490672086,0.09271429678883111,5.0
A,0.1,1.0,1e-12,1e-12,0.01,150,0.029562216252088547,0.8184633110649884,0.023862825706601143,3.0,13.0,51.47373309999239,30.0,30.0,0.0,0.005022126839601963,5,16.0,30,0.05639992600342243,0.025918055838317848,0.020034303418382225,0.023572846501330118,0.09355321056315832,5.0
B,1e-12,1e-12,0.01,0.1,0.01,150,0.053816487081348896,0.6864068214781582,0.046340906992554665,7.0,9.5,45.48572039999999,30.0,30.0,0.0,0.003218444731352943,5,16.5,30,0.051597940832409164,0.034881307543379515,0.024790654339850178,0.02892098351897224,0.07017435225852922,5.0
B,1e-12,1e-12,0.1,1e-06,0.01,150,0.052704401314258575,0.8338724640198052,0.041956194676458836,8.5,1.0,45.56324940000195,30.0,30.0,0.0,0.003504202103641368,5,9.5,30,0.049138798213149204,0.033027471059895494,0.02612580174448095,0.005232819093285871,0.08715727424448305,5.0
B,1e-12,1e-12,0.1,1e-05,0.01,150,0.052704401314258575,0.8338724640198052,0.041956194676458836,8.5,1.0,45.06760369997937,30.0,30.0,0.0,0.003504202103641368,5,9.5,30,0.04913879547746988,0.03303069085973004,0.02612598427576942,0.005232556509005243,0.08715724422603788,5.0
B,1e-12,1e-12,0.1,0.0001,0.01,150,0.052704401314258575,0.8338724640198052,0.041956194676458836,8.5,1.0,44.990849799942225,30.0,30.0,0.0,0.003197576798777403,5,9.5,30,0.049138823095043846,0.033038708816601106,0.02613689126818173,0.005229941847494455,0.08715697876582296,5.0
B,1e-12,1e-12,0.1,0.001,0.01,150,0.052704401314258575,0.8338724640198052,0.041956194676458836,8.5,1.0,45.00584340002388,30.0,30.0,0.0,0.0030127390844612283,5,9.5,30,0.049138395885382144,0.033117708733867414,0.026134432418377217,0.0052037659092749045,0.08715357751424929,5.0
B,1e-12,1e-12,0.1,0.01,0.01,150,0.05260023847222328,0.8338724640198052,0.041956194676458836,8.5,1.0,45.05329949990846,30.0,30.0,0.0,0.0036958816870639034,5,9.5,30,0.049129806162019486,0.03413131463406202,0.027197976184186682,0.004792294456829457,0.08711917913638148,5.0
B,1e-12,1e-12,0.1,0.1,0.01,150,0.05258825048804283,0.8357246648520231,0.042016676627099514,8.5,1.0,45.1630500999745,30.0,30.0,0.0,0.0023646278614264378,5,9.5,30,0.05119047543789427,0.028869764802643097,0.026341642576176945,0.005171277537065591,0.08685593476168033,5.0
B,1e-12,1e-12,0.001,0.01,0.01,150,0.05252584349364042,0.664649922400713,0.04503786377608776,7.0,11.0,45.21979659993667,30.0,30.0,0.0,0.002624141382078918,5,18.0,30,0.048795428708585456,0.02747833985925536,0.02300047720583837,0.022536731736722874,0.06651501414934552,5.0
B,1e-12,1e-12,1e-06,0.01,0.01,150,0.052493090741336346,0.6427819337695837,0.0450341897085309,7.0,12.0,44.82956780004315,30.0,30.0,0.0,0.002222119548236405,5,19.0,30,0.044947553245693994,0.027160967436062715,0.022861103087530463,0.021721125214246496,0.06651122624459138,5.0
B,1e-12,1e-12,1e-05,0.01,0.01,150,0.052493090741336346,0.6427819337695837,0.0450341897085309,7.0,12.0,44.98417040007189,30.0,30.0,0.0,0.002222119548236405,5,19.0,30,0.044932195231569716,0.027160646983245745,0.022806725029724088,0.02172221487867798,0.06651116749467478,5.0
B,1e-12,1e-12,0.0001,0.01,0.01,150,0.052493090741336346,0.6588923092931509,0.0462624030187726,6.5,12.0,45.08291489991825,30.0,30.0,0.0,0.003307013543683134,5,18.5,30,0.044584305750570756,0.027074805520279105,0.022910103103070907,0.022012990985190203,0.06651182862032129,5.0
B,1e-12,1e-12,0.01,0.01,0.01,150,0.04923573136329651,0.7802701606415212,0.04213600978255272,8.0,7.0,45.04176569997799,30.0,30.0,0.0,0.0019240682210716438,5,15.0,30,0.048133302329562595,0.055373016395374,0.028112503493490013,0.00907239312488047,0.07148984126462504,5.0
B,1e-12,1e-12,0.01,1e-06,0.01,150,0.049231456592679024,0.7798492042347789,0.041892276145517826,8.5,6.0,44.936472499975935,30.0,30.0,0.0,0.0011644113508275946,5,14.5,30,0.048261317100841444,0.029665650527492073,0.026108231060668542,0.004513740835332306,0.07838019423988306,5.0
B,1e-12,1e-12,0.01,1e-05,0.01,150,0.049231456592679024,0.7798492042347789,0.041892276145517826,8.5,6.0,46.8228320000926,30.0,30.0,0.0,0.0011644113508275946,5,14.5,30,0.04827093269114805,0.029665563774113626,0.02610864336872411,0.004512883002638842,0.07837910483141511,5.0
