stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,seed,fidelity_median,fidelity_iqr,abs_delta_median,edges_selected_median,feats_selected_median,runtime_sec,n_nodes_evaluated,n_nodes_requested,n_failures,error_top_reason,error_top_count,error_first_message,fallback_model_target_count
A,0.001,1e-05,1e-12,1e-12,0.01,150,0,0.046569871716201305,0.7737511373125017,0.03832109738141298,1.5,13.0,48.31310869997833,30,30,0,,0,,0
A,0.001,1e-05,1e-12,1e-12,0.01,150,1,0.0479557728394866,0.7872134894132614,0.03810573183000088,1.0,12.5,46.938326000003144,30,30,0,,0,,0
A,0.001,1e-05,1e-12,1e-12,0.01,150,2,0.04636653698980808,0.618716299533844,0.04129904322326183,1.5,12.0,55.635516299982555,30,30,0,,0,,0
A,0.001,1e-05,1e-12,1e-12,0.01,150,3,0.04890438076108694,0.6686493344604969,0.040242536924779415,1.0,12.5,54.0239872999955,30,30,0,,0,,0
A,0.001,1e-05,1e-12,1e-12,0.01,150,4,0.0468129888176918,0.5926746120676398,0.0468129888176918,1.5,13.0,55.87507369997911,30,30,0,,0,,0
A,0.001,0.0001,1e-12,1e-12,0.01,150,0,0.046569871716201305,0.7737511373125017,0.03832109738141298,1.5,13.0,60.82136309996713,30,30,0,,0,,0
A,0.001,0.0001,1e-12,1e-12,0.01,150,1,0.0479557728394866,0.7872134894132614,0.03810573183000088,1.0,12.5,59.70197739999276,30,30,0,,0,,0
A,0.001,0.0001,1e-12,1e-12,0.01,150,2,0.04636653698980808,0.618716299533844,0.04129904322326183,1.5,12.0,59.302297400077805,30,30,0,,0,,0
A,0.001,0.0001,1e-12,1e-12,0.01,150,3,0.04890438076108694,0.6686493344604969,0.040242536924779415,1.5,12.5,58.87434660003055,30,30,0,,0,,0
A,0.001,0.0001,1e-12,1e-12,0.01,150,4,0.0468129888176918,0.5926746120676398,0.0468129888176918,1.5,13.0,51.956033600028604,30,30,0,,0,,0
A,0.001,0.001,1e-12,1e-12,0.01,150,0,0.03957196045666933,0.7737511373125017,0.03832109738141298,1.5,13.0,48.056320299976505,30,30,0,,0,,0
A,0.001,0.001,1e-12,1e-12,0.01,150,1,0.0479557728394866,0.7857784368097782,0.03810573183000088,1.5,12.5,47.78201690001879,30,30,0,,0,,0
A,0.001,0.001,1e-12,1e-12,0.01,150,2,0.04557231441140175,0.618716299533844,0.04129904322326183,1.5,12.0,48.10751440003514,30,30,0,,0,,0
A,0.001,0.001,1e-12,1e-12,0.01,150,3,0.04890438076108694,0.6690381737425923,0.040242536924779415,1.5,12.5,62.518609599908814,30,30,0,,0,,0
A,0.001,0.001,1e-12,1e-12,0.01,150,4,0.0468129888176918,0.5813407246023417,0.0468129888176918,2.0,13.0,63.31151339993812,30,30,0,,0,,0
A,0.001,0.01,1e-12,1e-12,0.01,150,0,0.039778792299330235,0.7869665282778442,0.03852792922407389,3.5,12.5,63.49862610001583,30,30,0,,0,,0
A,0.001,0.01,1e-12,1e-12,0.01,150,1,0.04777360986918211,0.7342197615653276,0.0380058903247118,4.0,12.0,62.463567700004205,30,30,0,,0,,0
A,0.001,0.01,1e-12,1e-12,0.01,150,2,0.041270941495895386,0.7191956513561308,0.03589385747909546,4.0,12.5,63.3131229999708,30,30,0,,0,,0
A,0.001,0.01,1e-12,1e-12,0.01,150,3,0.048938690684735775,0.631213269662112,0.04027684684842825,4.0,13.0,62.794366499991156,30,30,0,,0,,0
A,0.001,0.01,1e-12,1e-12,0.01,150,4,0.046723758801817894,0.6248989040032029,0.046723758801817894,3.5,12.5,64.347467900021,30,30,0,,0,,0
A,0.001,0.1,1e-12,1e-12,0.01,150,0,0.0300394706428051,0.6254964601248503,0.024914709851145744,6.0,12.5,63.785945200012065,30,30,0,,0,,0
A,0.001,0.1,1e-12,1e-12,0.01,150,1,0.031928351148962975,0.6775687271729112,0.027672773227095604,6.0,13.0,63.1962302000029,30,30,0,,0,,0
A,0.001,0.1,1e-12,1e-12,0.01,150,2,0.04268250614404678,0.6211815401911736,0.037320856004953384,6.0,12.0,63.048745600041,30,30,0,,0,,0
A,0.001,0.1,1e-12,1e-12,0.01,150,3,0.021287813782691956,0.6834960021078587,0.017798452638089657,7.0,13.0,63.44359879998956,30,30,0,,0,,0
A,0.001,0.1,1e-12,1e-12,0.01,150,4,0.0468129888176918,0.4406451964750886,0.0468129888176918,7.0,12.0,63.30464829993434,30,30,0,,0,,0
A,0.001,1.0,1e-12,1e-12,0.01,150,0,0.02976904809474945,0.6945704906247556,0.02472858689725399,6.5,12.5,62.853752800030634,30,30,0,,0,,0
A,0.001,1.0,1e-12,1e-12,0.01,150,1,0.03010370582342148,0.650310839060694,0.02241341397166252,6.0,13.0,65.0059880000772,30,30,0,,0,,0
A,0.001,1.0,1e-12,1e-12,0.01,150,2,0.03733360394835472,0.5976166315376759,0.037320856004953384,7.0,12.5,63.597005299991,30,30,0,,0,,0
