stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,graph_idx,node_type,node_idx,target_value,seed_runs,feature_mask_var_mean,edge_mask_var_mean,mask_var_mean
A,0.0001,1e-05,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,0.00352838266776884,0.0036996297187234005,0.00361400619324612
A,0.1,0.1,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.002085964049632258,0.005250190006411248,0.003668077028021753
A,0.01,0.01,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.002089263935100056,0.005349011194526714,0.0037191375648133853
A,0.001,1e-05,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.006653866593395176,0.0008590849873006334,0.0037564757903479047
A,0.001,1e-06,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.006654754296613566,0.0008585257829689396,0.0037566400397912527
A,0.001,0.0001,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.006653997701044214,0.0008638753926187802,0.0037589365468314972
A,0.001,0.01,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.007024602130294583,0.0005167556359282344,0.0037706788831114086
A,0.001,0.001,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.006707391088804744,0.0008939769335884762,0.00380068401119661
A,0.0001,0.001,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.007119648799773567,0.0007855059046551104,0.003952577352214339
A,1e-06,0.001,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.007233401877801745,0.0007692595310157913,0.004001330704408768
A,0.0001,1e-05,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.007202346232318373,0.0008037891667048314,0.004003067699511602
A,0.0001,1e-06,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.007202048672713955,0.0008041488993934821,0.004003098786053719
A,0.0001,0.0001,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.007200990095241836,0.0008064252253433324,0.004003707660292584
