graph_idx, node_type, node_idx, method              , sparsity_target, mask_baseline_mode, ig_baseline_mode, pred_orig           , pred_drop            , pred_keep            , target               , error_orig            , error_drop            , error_keep           , fid_plus_model        , fid_minus_model       , fid_plus_error_delta   , fid_minus_error_delta , n_features, k_features, actual_sparsity_feat
      170, H        ,        7, integrated_gradients,             0.9, match_ig_baseline , scientific      , -0.07790827751159668, -0.0654078871011734  , -0.07384220510721207 , -0.02896150015294552 , 0.04894677735865116   ,  0.03644638694822788  , 0.04488070495426655  , 0.012500390410423279  , 0.004066072404384613  , -0.012500390410423279  , -0.004066072404384613 ,         33,          4,   0.8787878787878788
      170, H        ,        8, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -0.07964935898780823, -0.09105551242828369 , -0.08486929535865784 , -0.02691764011979103 , 0.0527317188680172    ,  0.06413787230849266  , 0.057951655238866806 , 0.011406153440475464  , 0.005219936370849609  , 0.011406153440475464   , 0.005219936370849609  ,         33,          4,   0.8787878787878788
      170, H        ,        8, integrated_gradients,             0.9, match_ig_baseline , scientific      , -0.07964935898780823, -0.06643076241016388 , -0.07380630820989609 , -0.02691764011979103 , 0.0527317188680172    ,  0.03951312229037285  , 0.04688866809010506  , 0.013218596577644348  , 0.00584305077791214   , -0.013218596577644348  , -0.00584305077791214  ,         33,          4,   0.8787878787878788
      170, H        ,        9, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -0.0796414166688919 , -0.09079672396183014 , -0.06726725399494171 , -0.025917639955878258, 0.05372377671301365   ,  0.06487908400595188  , 0.041349614039063454 , 0.011155307292938232  , 0.012374162673950195  , 0.011155307292938232   , -0.012374162673950195 ,         33,          4,   0.8787878787878788
      170, H        ,        9, integrated_gradients,             0.9, match_ig_baseline , scientific      , -0.0796414166688919 , -0.0664251446723938  , -0.07380922138690948 , -0.025917639955878258, 0.05372377671301365   ,  0.04050750471651554  , 0.04789158143103123  , 0.013216271996498108  , 0.005832195281982422  , -0.013216271996498108  , -0.005832195281982422 ,         33,          4,   0.8787878787878788
      170, H        ,       10, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -0.07964157313108444, -0.07017379254102707 , -0.05894619598984718 , -0.025917639955878258, 0.053723933175206184  ,  0.04425615258514881  , 0.033028556033968925 , 0.009467780590057373  , 0.02069537714123726   , -0.009467780590057373  , -0.02069537714123726  ,         33,          4,   0.8787878787878788
      170, H        ,       10, integrated_gradients,             0.9, match_ig_baseline , scientific      , -0.07964157313108444, -0.06642463803291321 , -0.07380326092243195 , -0.025917639955878258, 0.053723933175206184  ,  0.04050699807703495  , 0.04788562096655369  , 0.013216935098171234  , 0.005838312208652496  , -0.013216935098171234  , -0.005838312208652496 ,         33,          4,   0.8787878787878788
      170, H        ,       11, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -0.07965811342000961, -0.09560944139957428 , -0.07859533280134201 , -0.02896150015294552 , 0.050696613267064095  ,  0.06664794124662876  , 0.04963383264839649  , 0.015951327979564667  , 0.0010627806186676025 , 0.015951327979564667   , -0.0010627806186676025,         33,          4,   0.8787878787878788
      170, H        ,       11, integrated_gradients,             0.9, match_ig_baseline , scientific      , -0.07965811342000961, -0.06642630696296692 , -0.07381762564182281 , -0.02896150015294552 , 0.050696613267064095  ,  0.0374648068100214   , 0.044856125488877296 , 0.013231806457042694  , 0.005840487778186798  , -0.013231806457042694  , -0.005840487778186798 ,         33,          4,   0.8787878787878788
      170, C        ,        0, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -2.0284276008605957 , -3.00911021232605    , -2.6837000846862793  , -2.175614595413208   , 0.1471869945526123    ,  0.8334956169128418   , 0.5080854892730713   , 0.9806826114654541    , 0.6552724838256836    , 0.6863086223602295     , 0.360898494720459     ,         39,          4,   0.8974358974358975
      170, C        ,        0, integrated_gradients,             0.9, match_ig_baseline , scientific      , -2.0284276008605957 , -3.172874689102173   , -2.299689531326294   , -2.175614595413208   , 0.1471869945526123    ,  0.9972600936889648   , 0.12407493591308594  , 1.1444470882415771    , 0.27126193046569824   , 0.8500730991363525     , -0.023112058639526367 ,         39,          4,   0.8974358974358975
      170, C        ,        1, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -2.0285582542419434 , -2.8657150268554688  , -2.686408519744873   , -2.1761586666107178  , 0.14760041236877441   ,  0.689556360244751    , 0.5102498531341553   , 0.8371567726135254    , 0.6578502655029297    , 0.5419559478759766     , 0.36264944076538086   ,         39,          4,   0.8974358974358975
      170, C        ,        1, integrated_gradients,             0.9, match_ig_baseline , scientific      , -2.0285582542419434 , -3.1729025840759277  , -2.299567699432373   , -2.1761586666107178  , 0.14760041236877441   ,  0.99674391746521     , 0.12340903282165527  , 1.1443443298339844    , 0.2710094451904297    , 0.8491435050964355     , -0.02419137954711914  ,         39,          4,   0.8974358974358975
      170, C        ,        2, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -2.1927924156188965 , -2.3534438610076904  , -2.833195209503174   , -2.1926145553588867  , 0.00017786026000976562,  0.1608293056488037   , 0.6405806541442871   , 0.16065144538879395   , 0.6404027938842773    , 0.16065144538879395    , 0.6404027938842773    ,         39,          4,   0.8974358974358975
      170, C        ,        2, integrated_gradients,             0.9, match_ig_baseline , scientific      , -2.1927924156188965 , -3.29074764251709    , -2.341501235961914   , -2.1926145553588867  , 0.00017786026000976562,  1.0981330871582031   , 0.14888668060302734  , 1.0979552268981934    , 0.14870882034301758   , 1.0979552268981934     , 0.14870882034301758   ,         39,          4,   0.8974358974358975
      170, C        ,        3, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -2.1926939487457275 , -3.286961078643799   , -2.6289613246917725  , -2.179614543914795   , 0.013079404830932617  ,  1.107346534729004    , 0.44934678077697754  , 1.0942671298980713    , 0.4362673759460449    , 1.0942671298980713     , 0.4362673759460449    ,         39,          4,   0.8974358974358975
      170, C        ,        3, integrated_gradients,             0.9, match_ig_baseline , scientific      , -2.1926939487457275 , -3.2909276485443115  , -2.3415279388427734  , -2.179614543914795   , 0.013079404830932617  ,  1.1113131046295166   , 0.16191339492797852  , 1.098233699798584     , 0.1488339900970459    , 1.098233699798584      , 0.1488339900970459    ,         39,          4,   0.8974358974358975
      170, C        ,        4, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -2.0527212619781494 , -3.1512491703033447  , -2.748059034347534   , -2.1881580352783203  , 0.1354367733001709    ,  0.9630911350250244   , 0.5599009990692139   , 1.0985279083251953    , 0.6953377723693848    , 0.8276543617248535     , 0.42446422576904297   ,         39,          4,   0.8974358974358975
      170, C        ,        4, integrated_gradients,             0.9, match_ig_baseline , scientific      , -2.0527212619781494 , -3.1850643157958984  , -2.3068904876708984  , -2.1881580352783203  , 0.1354367733001709    ,  0.9969062805175781   , 0.11873245239257812  , 1.132343053817749     , 0.254169225692749     , 0.8614695072174072     , -0.016704320907592773 ,         39,          4,   0.8974358974358975
      170, C        ,        5, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -2.0526702404022217 , -2.7212655544281006  , -2.638497829437256   , -2.174614429473877   , 0.12194418907165527   ,  0.5466511249542236   , 0.4638833999633789   , 0.6685953140258789    , 0.5858275890350342    , 0.42470693588256836    , 0.34193921089172363   ,         39,          4,   0.8974358974358975
      170, C        ,        5, integrated_gradients,             0.9, match_ig_baseline , scientific      , -2.0526702404022217 , -3.1851437091827393  , -2.307053565979004   , -2.174614429473877   , 0.12194418907165527   ,  1.0105292797088623   , 0.13243913650512695  , 1.1324734687805176    , 0.2543833255767822    , 0.888585090637207      , 0.01049494743347168   ,         39,          4,   0.8974358974358975
      270, H        ,        0, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -0.06326740980148315, -0.07796105742454529 , -0.047822341322898865, -0.04426804184913635 , 0.018999367952346802  ,  0.033693015575408936 , 0.003554299473762512 , 0.014693647623062134  , 0.01544506847858429   , 0.014693647623062134   , -0.01544506847858429  ,         33,          4,   0.8787878787878788
      270, H        ,        0, integrated_gradients,             0.9, match_ig_baseline , scientific      , -0.06326740980148315, -0.08233696222305298 , -0.06156378239393234 , -0.04426804184913635 , 0.018999367952346802  ,  0.038068920373916626 , 0.01729574054479599  , 0.019069552421569824  , 0.0017036274075508118 , 0.019069552421569824   , -0.0017036274075508118,         33,          4,   0.8787878787878788
      270, H        ,        1, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -0.06325238198041916, -0.11085329204797745 , -0.07832803577184677 , -0.04426804184913635 , 0.018984340131282806  ,  0.0665852501988411   , 0.03405999392271042  , 0.04760091006755829   , 0.015075653791427612  , 0.04760091006755829    , 0.015075653791427612  ,         33,          4,   0.8787878787878788
      270, H        ,        1, integrated_gradients,             0.9, match_ig_baseline , scientific      , -0.06325238198041916, -0.08234213292598724 , -0.06154478341341019 , -0.04426804184913635 , 0.018984340131282806  ,  0.03807409107685089  , 0.017276741564273834 , 0.019089750945568085  , 0.0017075985670089722 , 0.019089750945568085   , -0.0017075985670089722,         33,          4,   0.8787878787878788
      270, H        ,        2, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -0.11182482540607452, -0.10091029107570648 , -0.1048378050327301  , -0.1254609227180481  , 0.013636097311973572  ,  0.024550631642341614 , 0.020623117685317993 , 0.010914534330368042  , 0.006987020373344421  , 0.010914534330368042   , 0.006987020373344421  ,         33,          4,   0.8787878787878788
      270, H        ,        2, integrated_gradients,             0.9, match_ig_baseline , scientific      , -0.11182482540607452, -0.09605581313371658 , -0.11182224005460739 , -0.1254609227180481  , 0.013636097311973572  ,  0.029405109584331512 , 0.013638682663440704 , 0.01576901227235794   , 2.5853514671325684e-06, 0.01576901227235794    , 2.5853514671325684e-06,         33,          4,   0.8787878787878788
