graph_idx,compound,graph_num_nodes,graph_num_edges,target_node_type,node_idx,target_value,seed_runs,feature_imp_mean_H,feature_imp_mean_C,feature_var_mean_H,feature_var_mean_C,edge_imp_mean,edge_var_mean,overall_var_mean
170,21,20,42,H,5,-0.026961499825119972,5,0.02884452099902461,0.06349478639725945,1.2248462413484e-06,3.863553239026708e-06,0.13625585465204149,0.0370332919028375,0.012346126767439292
170,21,20,42,H,6,-0.026961499825119972,5,0.028951990216819927,0.0632997925592284,1.0626805179456693e-06,4.797303056696521e-06,0.15312179188643182,0.04950104106580152,0.016502300349792054
170,21,20,42,H,7,-0.02896150015294552,5,0.02879932058805769,0.06316914804852926,7.916488952132705e-07,3.4402913820137975e-06,0.12836000804035436,0.04568860246920677,0.015230944803161332
170,21,20,42,H,8,-0.02691764011979103,5,0.02887370541616522,0.06324918314687208,8.869214156824732e-07,4.8523384461377394e-06,0.17338765084388708,0.04822036298386686,0.016075367414576224
170,21,20,42,H,9,-0.025917639955878258,5,0.02878597120594497,0.06326038660401971,1.0731236498513355e-06,4.776690753110658e-06,0.16554273223238333,0.04675977310345934,0.015588540972620768
170,21,20,42,H,10,-0.025917639955878258,5,0.028844773521025976,0.06355694814497588,1.1425767554221332e-06,4.109184623003772e-06,0.17732109501957893,0.03682826448268971,0.01227783874802271
170,21,20,42,H,11,-0.02896150015294552,5,0.028948429166668593,0.06363301841367004,1.2166259771219963e-06,5.493293079093684e-06,0.13234307356178765,0.04554969473347242,0.015185468217509546
180,22,8,14,C,0,-14.357091903686523,5,0.16817293512550266,0.2830817313275785,0.00041943083791464575,0.0014446324632586382,0.5442861500595297,0.07032043629903247,0.02406149986673525
180,22,8,14,C,1,-10.998719215393066,5,0.2104378754103726,0.3164286604039689,0.0008504479426358278,0.0006711299098759318,0.6399859038580741,0.04077778632893046,0.01409978806048074
180,22,8,14,C,2,-17.9969425201416,5,0.25420569739106924,0.3126751856416719,0.001064700565948034,0.002393744746577134,0.7141166650823184,0.02306292131579721,0.008840455542774127
180,22,8,14,H,0,-0.580960750579834,5,0.06800012144852768,0.11137448302191544,1.7836185886789065e-05,0.0013246422049087501,0.31068136572305644,0.10151910210643982,0.03428719349907845
180,22,8,14,H,1,-0.4130914807319641,5,0.06562271811293834,0.10962662694291173,6.242310159868998e-06,2.6028169840613574e-05,0.3602192564202206,0.06937845505312505,0.023136908511041845
180,22,8,14,H,2,-0.4001104235649109,5,0.0880844915455038,0.10439301395518147,1.1838944835401777e-05,0.0004673215829950578,0.38151538856327527,0.08734493886723936,0.029274699798356608
180,22,8,14,H,3,-0.484222948551178,5,0.04396760655623494,0.1056076331398426,1.0055236089143951e-05,0.0009086176036760826,0.23605214921491485,0.08272257919094235,0.02788041734356919
190,23,8,16,C,0,-6.9586501121521,5,0.17117379056383863,0.2446134160344417,0.0007526338212727489,0.0015154765025481571,0.5602715131593868,0.09059114490145308,0.030953085075091327
190,23,8,16,C,1,-11.209294319152832,5,0.17567137868115396,0.2762239191521946,0.00034164064775558305,0.0025402589611241526,0.5788225044962019,0.08214657979048842,0.028342826466456052
190,23,8,16,C,2,-9.844695091247559,5,0.17544561278338383,0.27589127344962877,0.00022083676312749162,0.0009609524860311763,0.575915711862035,0.08353528537781275,0.028239024875657142
190,23,8,16,H,0,-0.18715476989746094,5,0.08694927276987018,0.09507191477932482,1.2222783167016685e-05,1.4916191282956984e-05,0.23606432371307162,0.07780739776841225,0.025944845580954074
190,23,8,16,H,1,-0.2963302731513977,5,0.05802722925489599,0.10325170487929612,1.1233315088536487e-05,0.00016315330282817267,0.29868961265310645,0.07328496087910406,0.02448644916567359
190,23,8,16,H,2,-0.3346013128757477,5,0.05761105746331842,0.10753899763027827,1.0363275487081024e-05,2.863757454711115e-05,0.2751628030091524,0.06489221890515363,0.02164373991839594
200,24,9,16,C,0,-0.32692858576774597,5,0.18267369682740683,0.2248741881014445,0.00013006692951034242,0.0016331301200696246,0.5338126616086811,0.08220166826006417,0.027988288436548048
200,24,9,16,C,1,-3.714416265487671,5,0.09576302394270897,0.1382303378329827,5.972442931787406e-05,0.00043594861836748793,0.47881603927817196,0.15045495262182138,0.05031687522316891
200,24,9,16,H,0,-0.05202356353402138,5,0.07213685586295945,0.09542736537181412,4.936385207000447e-06,2.064907731789755e-05,0.3698387678246945,0.1179560317651437,0.0393272057425562
200,24,9,16,H,1,-0.14146092534065247,5,0.08636045592150303,0.09450295619093455,6.716460066975765e-06,2.4138715593347102e-05,0.4297559005673975,0.12518547229064309,0.041738775822101136
200,24,9,16,H,3,-0.14141695201396942,5,0.08627225274238923,0.09511805000977637,6.189998875796635e-06,2.3557395637473302e-05,0.41909137424081566,0.10636393679068576,0.03546456139506634
200,24,9,16,H,4,-0.05361136794090271,5,0.07192044810514257,0.09515742327158266,6.014955410996674e-06,2.1017297094177105e-05,0.35026138005778196,0.11360073835958463,0.03787592353736327
200,24,9,16,H,5,0.022021647542715073,5,0.07222208690763725,0.0959832223944175,5.955493841150544e-06,2.3885148472881185e-05,0.3609769268892706,0.10490346878166104,0.03497776980799169
210,25,9,18,C,0,-8.148537635803223,5,0.18990150926013785,0.26614739379057517,0.0002864293469780483,0.0003201470688493102,0.5747737000592882,0.08544127349240971,0.02868261663607902
210,25,9,18,C,1,-8.832358360290527,5,0.1615999679899577,0.21286601687853152,0.00038289540249694963,0.0001944947213623966,0.5721538787293766,0.10222432841898249,0.034267239514280616
210,25,9,18,C,2,-8.827771186828613,5,0.16233147382736204,0.2141673411218784,0.00014495076638432105,0.00023930895413766968,0.5077853264080153,0.08225677311636778,0.027547010945629922
210,25,9,18,C,3,-8.147125244140625,5,0.19032771480128619,0.26476599342930013,0.0005273430852525123,0.0005202841042278736,0.588075272118052,0.07261950118133959,0.02455570945693999
210,25,9,18,H,0,-0.2668735980987549,5,0.06526535415288173,0.09482176157717521,5.41215259567681e-06,1.4898411889888442e-05,0.2672332550502486,0.08084880341116857,0.026956371325218043
210,25,9,18,H,1,-0.22000466287136078,5,0.04349437488073653,0.09557761219449533,4.998259761139886e-06,1.059704108398685e-05,0.342036269687944,0.060445661223891244,0.020153752174912123
210,25,9,18,H,2,-0.22000466287136078,5,0.04299464731505423,0.09539380522492603,4.7607564351618145e-06,1.3827201002851851e-05,0.2171145346429613,0.08816543517468943,0.029394674377375817
210,25,9,18,H,3,-0.2668735980987549,5,0.06497987027872693,0.09553296733169983,9.805560932610155e-06,1.4891402074951357e-05,0.32639646261102623,0.0740429219082843,0.024689206290430626
220,26,9,16,C,0,-2.234189033508301,5,0.06663685820319436,0.12043057463299005,2.5891930522185987e-05,0.00036020785365852525,0.4151756142266094,0.1241761596638416,0.04152075314934077
220,26,9,16,C,1,-13.03568172454834,5,0.18872810445274368,0.33223691781361897,0.0005205335548668797,0.0003264676466886536,0.5651384782977402,0.041865568718678935,0.014237523306744824
220,26,9,16,C,2,-5.104192733764648,5,0.08876745077696714,0.19562298920101082,1.4360897980813163e-05,0.00020456867027813443,0.37839886378496884,0.10543325149804571,0.035217393688768216
220,26,9,16,C,3,-13.445884704589844,5,0.06171886784334977,0.2521583438492738,1.1226867991296538e-05,0.00032218933339694743,0.32992456424981353,0.016127899812085747,0.005487105337824663
220,26,9,16,H,0,-0.12012752145528793,5,0.06436375930453792,0.07134969280316279,7.412934762554287e-06,8.530135886407439e-06,0.2692954199388623,0.08512915197845934,0.028381698349702767
220,26,9,16,H,1,-0.12267136573791504,5,0.06497107429260557,0.07134064864844847,1.0007176784920212e-05,8.777092418507091e-06,0.3581998361740261,0.08783222105756833,0.029283668442257254
220,26,9,16,H,2,-0.1407589614391327,5,0.06495863146176845,0.0711084859780012,9.081011574803162e-06,1.0741662942126424e-05,0.36772149666212495,0.087556765247327,0.02919219597394798
220,26,9,16,H,3,-0.3256283104419708,5,0.021854230919570637,0.0730585608440332,2.4041259686657266e-06,5.2373967033030165e-05,0.1607185031287372,0.050217837384295416,0.01675753849243237
230,27,9,16,C,0,-10.109193801879883,5,0.19372378438711169,0.2729964352188966,0.00023575814378794856,0.0001410765972948454,0.44901560856960715,0.016373043487265905,0.0055832927427829
230,27,9,16,C,1,-11.781682968139648,5,0.2130554345746835,0.2763239738523451,0.002462663099658088,0.001315976202759125,0.6020997188519686,0.04233705376554864,0.015371897689321951
230,27,9,16,C,2,-8.401256561279297,5,0.07273317425314225,0.17018493497983,9.013507021193977e-05,0.0002373640854084231,0.2856576381251216,0.06037413203988669,0.020233877065169017
230,27,9,16,H,0,-0.21884571015834808,5,0.02162216840819879,0.06291388377674624,2.1963719789677284e-06,9.353817438950967e-06,0.23506574449129403,0.06845927258069988,0.022823607590039267
230,27,9,16,H,1,-0.30968761444091797,5,0.0652919630999818,0.0946324391752227,8.537787143947868e-06,1.534190688227424e-05,0.2752295687329024,0.0832893201262245,0.02777106660675024
230,27,9,16,H,2,-0.3863656520843506,5,0.06661137302942349,0.06371395174,1.1761952663448343e-05,1.0116637654277432e-05,0.2618325732648373,0.09198564096434488,0.030669173184887533
230,27,9,16,H,3,-0.32730403542518616,5,0.06563922968326193,0.06398976330573743,7.276459267344644e-06,1.2174644424658683e-05,0.23854769337922338,0.07475364049166863,0.024924363865120213
240,28,10,18,C,0,-1.621073603630066,5,0.12002577707924024,0.16162713806853335,0.00017511331989218464,0.0003649969202239457,0.3885309283104208,0.09242175353396025,0.030987287924692127
240,28,10,18,C,1,-16.60723114013672,5,0.2545112222734124,0.3698521900126058,0.0003588325701603422,0.00015493478611937176,0.5652654576218791,0.040168187855708526,0.013560651737329413
240,28,10,18,C,2,-1.6210734844207764,5,0.11420007312689165,0.1630808788614395,0.00014353566821731574,0.0004914003746194573,0.5045797090977431,0.08721126812388275,0.029282068055573176
240,28,10,18,H,0,-0.15137328207492828,5,0.04299650138074702,0.09501475993639384,3.09252167841038e-06,1.7036546697068672e-05,0.22998395690487486,0.0735109108509126,0.024510346639762693
240,28,10,18,H,1,-0.1149962767958641,5,0.04334158147826339,0.0950666429904791,3.3892872762827484e-06,1.4967663294862309e-05,0.3168698940840032,0.07293750032537863,0.024318619091983257
240,28,10,18,H,2,-0.11920677125453949,5,0.043127481767324484,0.09501897465978934,3.4298380355800704e-06,1.5531597996701772e-05,0.3066864769077963,0.07364677943422883,0.024555246956753703
240,28,10,18,H,3,-0.11866297572851181,5,0.04320892593023753,0.09527099379616925,3.628903103801155e-06,1.7335507259372987e-05,0.2580838390108612,0.08773155004517848,0.029250838151847217
240,28,10,18,H,4,-0.15396107733249664,5,0.04315102521819298,0.09486892289585534,3.2505179613198014e-06,1.4037553619587153e-05,0.2884776862131225,0.08286371789597151,0.02762700198918414
240,28,10,18,H,5,-0.11599627882242203,5,0.04311110713716709,0.09522421577802072,3.3206447099961763e-06,1.447821752179862e-05,0.28844682152072587,0.08787779425713889,0.02929853103979023
250,29,10,18,C,0,-2.464592218399048,5,0.08056048740943274,0.17460665037998785,0.00017526512946445407,0.001056526642840244,0.3871498331427574,0.10055230710338692,0.03392803295856387
250,29,10,18,C,1,-5.086487293243408,5,0.08940197531924102,0.1907717521565083,3.954052683951924e-05,0.00015634072507028033,0.36161056185762086,0.12230251320547904,0.04083279815246294
250,29,10,18,H,2,-0.020232999697327614,5,0.05171367846655123,0.09486568316053125,4.568998189754015e-06,2.2709939930820715e-05,0.22603297357757887,0.08449458660388286,0.02817395518066781
250,29,10,18,H,3,-0.07985581457614899,5,0.05197835146477728,0.09520225498156669,4.765704091579277e-06,1.758889689766179e-05,0.2753130748040146,0.08800945660922171,0.02934393707007032
250,29,10,18,H,4,-0.06425908952951431,5,0.05222047330755175,0.09492536725906224,5.353368081750349e-06,2.2207298927709205e-05,0.25522076880766287,0.07112595990235414,0.023717840189787866
260,30,10,18,C,0,0.5184339284896851,5,0.221515188108791,0.25659534623607616,0.0003242957948285283,0.0014914058039995175,0.545540622787343,0.08351045418323257,0.028442051927353537
260,30,10,18,C,1,-5.044675350189209,5,0.16057656550949273,0.20509036450813975,0.0004995888300818643,0.0011763104475575866,0.5322063909636604,0.08775889414460514,0.029811597807414863
260,30,10,18,H,0,-0.009390936233103275,5,0.08706108230533022,0.09597647938972866,8.774432999547582e-06,2.5584301777441365e-05,0.3198707729164097,0.07981784701291503,0.02661740191589734
260,30,10,18,H,1,0.04626734182238579,5,0.08698088736245126,0.09577714651823045,1.1405619774397316e-05,2.4468676192996128e-05,0.3494300837318103,0.0972217755156142,0.03241921660386053
260,30,10,18,H,2,-0.0078032175078988075,5,0.08653540846073265,0.09567463632959587,7.939408634578323e-06,2.5360897626722552e-05,0.3004547755751345,0.0903672791334044,0.030133526479888564
260,30,10,18,H,3,-0.1017669215798378,5,0.0864016559358799,0.09533412997157147,9.518070330909077e-06,3.0021690690226285e-05,0.36690976499683325,0.11815872831825429,0.03939942269309181
260,30,10,18,H,4,-0.1017669215798378,5,0.08649188335194734,0.09491241939174823,1.0171396034570492e-05,2.1596806020372463e-05,0.33700413405895235,0.11066375969713965,0.036898509299731534
270,31,11,22,C,0,-0.4850490391254425,5,0.15808725987720973,0.23166720828948884,0.00010811658786646158,0.00022805747867805088,0.5469625670462848,0.10084360184784148,0.033726591971462
270,31,11,22,C,1,-2.464503288269043,5,0.09397294063760778,0.133378490834282,1.797884773588077e-05,0.00014025880133188188,0.38909240866249256,0.12573320875139352,0.041963815466820424
270,31,11,22,C,2,-16.523923873901367,5,0.19489423435444786,0.34085334625381697,0.000194208052103621,0.0002534025491355506,0.481094411184842,0.055546261916957655,0.018664624172732274
