graph_idx,compound,target_node_type,node_idx,feature_source_type,feature_idx,feature_importance_mean,feature_variance
0,1,C,3,H,26,0.06467999865611393,7.433922547812972e-06
0,1,C,3,H,27,0.09158607025941214,6.192803593329682e-05
0,1,C,3,H,28,0.07879278312126795,3.000505860521297e-06
0,1,C,3,H,29,0.12364345416426659,4.333433219759517e-05
0,1,C,3,H,30,0.07636428773403167,1.4155608737523045e-06
0,1,C,3,H,31,0.0786480392018954,2.9167035929154048e-05
0,1,C,3,H,32,0.07929753065109253,9.446310113736307e-06
0,1,C,3,C,0,0.0,0.0
0,1,C,3,C,1,0.3920067232847214,0.00011144807088181948
0,1,C,3,C,2,0.0,0.0
0,1,C,3,C,3,0.0,0.0
0,1,C,3,C,4,0.0,0.0
0,1,C,3,C,5,0.0,0.0
0,1,C,3,C,6,0.0,0.0
0,1,C,3,C,7,0.0,0.0
0,1,C,3,C,8,0.0,0.0
0,1,C,3,C,9,0.0,0.0
0,1,C,3,C,10,0.0,0.0
0,1,C,3,C,11,0.0,0.0
0,1,C,3,C,12,0.0,0.0
0,1,C,3,C,13,0.3279202628135681,0.0005208547269432578
0,1,C,3,C,14,0.0,0.0
0,1,C,3,C,15,0.3826804423332214,0.0005382545970182995
0,1,C,3,C,16,0.40235179305076596,0.000264033825854502
0,1,C,3,C,17,0.40360005259513854,9.309159879190246e-05
0,1,C,3,C,18,0.3040343457460403,0.00032506230482469547
0,1,C,3,C,19,0.41746158540248873,6.463450140530263e-05
0,1,C,3,C,20,0.33724916487932205,0.0002907077714356276
0,1,C,3,C,21,0.3198769521713257,6.513657892168339e-05
0,1,C,3,C,22,0.3519011837244034,0.00039005372854828926
0,1,C,3,C,23,0.32849705159664155,0.0002352823962133905
0,1,C,3,C,24,0.2846617504954338,8.114977718212307e-05
0,1,C,3,C,25,0.4379625886678696,9.984815732897805e-05
0,1,C,3,C,26,0.38348861426115033,0.00022253229529856856
0,1,C,3,C,27,0.2534268426895142,0.00011048793396340752
0,1,C,3,C,28,0.28903420686721804,3.1763316415764786e-05
0,1,C,3,C,29,0.26516406416893,0.0002934509655262821
0,1,C,3,C,30,0.3130658549070358,0.0004175420372827843
0,1,C,3,C,31,0.2985426545143127,0.00045283481131961527
0,1,C,3,C,32,0.36822939097881313,0.0002488811179411622
0,1,C,3,C,33,0.3355260944366455,0.00016371414926863334
0,1,C,3,C,34,0.24071549326181413,0.00014310522712193924
0,1,C,3,C,35,0.37194374918937684,2.4275992690819957e-05
0,1,C,3,C,36,0.278913302719593,0.00011396470059363569
0,1,C,3,C,37,0.3121043848991394,3.55630171144718e-05
0,1,C,3,C,38,0.43831596374511717,0.0001452704948439027
0,1,C,4,H,0,0.05891226033369701,1.09477154664766e-05
0,1,C,4,H,1,0.0,0.0
0,1,C,4,H,2,0.0,0.0
0,1,C,4,H,3,0.0,0.0
0,1,C,4,H,4,0.0,0.0
0,1,C,4,H,5,0.0,0.0
0,1,C,4,H,6,0.0,0.0
0,1,C,4,H,7,0.0,0.0
0,1,C,4,H,8,0.0,0.0
0,1,C,4,H,9,0.0,0.0
0,1,C,4,H,10,0.0,0.0
0,1,C,4,H,11,0.0,0.0
0,1,C,4,H,12,0.0,0.0
0,1,C,4,H,13,0.04442550043265024,3.826068148481036e-06
0,1,C,4,H,14,0.0,0.0
0,1,C,4,H,15,0.05509659051895142,1.3730892944313247e-05
0,1,C,4,H,16,0.05965033248066902,1.4891983890820008e-05
0,1,C,4,H,17,0.15125357657670974,2.4838783582112433e-05
0,1,C,4,H,18,0.14709618066747984,1.8189270351859994e-05
0,1,C,4,H,19,0.15253769159317015,2.1801295882276796e-05
0,1,C,4,H,20,0.06954066480199496,5.1911442173752947e-05
0,1,C,4,H,21,0.0906491681933403,3.7412335157352106e-06
0,1,C,4,H,22,0.0797583262125651,5.663927164566555e-05
0,1,C,4,H,23,0.11554080471396447,1.744480659299613e-05
0,1,C,4,H,24,0.15213146110375725,2.1404695471176827e-05
0,1,C,4,H,25,0.15183337082465492,7.411608994453742e-06
0,1,C,4,H,26,0.12079602281252544,2.5423269734747617e-05
0,1,C,4,H,27,0.1532462219397227,3.6395754760403732e-06
0,1,C,4,H,28,0.0589383602142334,3.633187277335193e-05
0,1,C,4,H,29,0.15031191309293113,9.059856273361248e-06
0,1,C,4,H,30,0.06106374884645145,1.0743817304892625e-05
0,1,C,4,H,31,0.059796874225139615,1.7793801970122672e-05
0,1,C,4,H,32,0.0623814657330513,1.6648197462741552e-05
0,1,C,4,C,0,0.0,0.0
0,1,C,4,C,1,0.1561007884144783,0.00010518314794116392
0,1,C,4,C,2,0.0,0.0
0,1,C,4,C,3,0.0,0.0
0,1,C,4,C,4,0.0,0.0
0,1,C,4,C,5,0.0,0.0
0,1,C,4,C,6,0.0,0.0
0,1,C,4,C,7,0.0,0.0
0,1,C,4,C,8,0.0,0.0
0,1,C,4,C,9,0.0,0.0
0,1,C,4,C,10,0.0,0.0
0,1,C,4,C,11,0.0,0.0
0,1,C,4,C,12,0.0,0.0
0,1,C,4,C,13,0.19148312628269196,8.02507861303838e-05
0,1,C,4,C,14,0.0,0.0
0,1,C,4,C,15,0.3316055616736412,0.00031890812057687955
0,1,C,4,C,16,0.4557465302944184,0.002585587763474339
0,1,C,4,C,17,0.2920484811067581,0.0003099327267711698
0,1,C,4,C,18,0.19777832090854644,5.4940075371708745e-05
0,1,C,4,C,19,0.43289982795715326,0.0006733349579973573
0,1,C,4,C,20,0.34390285640954976,0.0004489138048070912
0,1,C,4,C,21,0.21679049074649814,5.590426804791952e-05
0,1,C,4,C,22,0.35669611632823944,0.0002218030165683386
0,1,C,4,C,23,0.2952546054124832,3.0880523590909525e-06
0,1,C,4,C,24,0.3188809335231781,6.166354133146977e-05
0,1,C,4,C,25,0.36389311701059335,0.005376762759291784
0,1,C,4,C,26,0.3803697264194489,0.0002462749154881061
0,1,C,4,C,27,0.149651620388031,8.03990300390126e-05
0,1,C,4,C,28,0.24585721790790557,5.825812843283264e-05
0,1,C,4,C,29,0.15785274833440782,0.0001299091841223325
0,1,C,4,C,30,0.2583677279949188,0.00013762724805603286
0,1,C,4,C,31,0.23488797962665559,1.879405445797243e-05
0,1,C,4,C,32,0.28372556865215304,0.0005571784306665778
0,1,C,4,C,33,0.24805292963981626,0.0015037946277084969
0,1,C,4,C,34,0.4002219861745834,0.0002846719558523015
0,1,C,4,C,35,0.2824819326400757,2.2129338184377892e-05
0,1,C,4,C,36,0.3933142283558846,3.993021911561419e-05
0,1,C,4,C,37,0.3608805418014526,8.284877067113084e-05
0,1,C,4,C,38,0.3383479255437852,4.9696989342886125e-05
0,1,H,0,H,0,0.0945421874523163,3.929050427807405e-06
0,1,H,0,H,1,0.0,0.0
0,1,H,0,H,2,0.0,0.0
0,1,H,0,H,3,0.0,0.0
0,1,H,0,H,4,0.0,0.0
0,1,H,0,H,5,0.0,0.0
0,1,H,0,H,6,0.0,0.0
0,1,H,0,H,7,0.0,0.0
0,1,H,0,H,8,0.0,0.0
0,1,H,0,H,9,0.0,0.0
0,1,H,0,H,10,0.0,0.0
0,1,H,0,H,11,0.0,0.0
0,1,H,0,H,12,0.0,0.0
0,1,H,0,H,13,0.09510778089364369,8.49209624230469e-06
0,1,H,0,H,14,0.0,0.0
0,1,H,0,H,15,0.0946615440150102,8.219454061439758e-07
0,1,H,0,H,16,0.09549741297960282,5.174230812355041e-06
0,1,H,0,H,17,0.09490378846724827,3.094728822964966e-06
0,1,H,0,H,18,0.09653290361165999,4.100110400062645e-06
