graph_idx,compound,target_node_type,node_idx,edge_idx,edge_importance_mean,edge_variance
10,2,H,2,10,0.7569713443517685,0.11988821315651546
10,2,H,2,11,0.06509132385253906,8.076772833766287e-05
10,2,H,2,12,0.0,0.0
10,2,H,2,13,0.0,0.0
10,2,H,2,14,0.0,0.0
10,2,H,2,15,0.0,0.0
10,2,H,2,16,0.7623954147100449,0.11879841626811154
10,2,H,2,17,0.4108429320156574,0.17948291483512613
10,2,H,2,18,0.5849543452262879,0.17910213688336873
10,2,H,2,19,0.4127886690199375,0.18042254411737857
10,2,H,2,20,0.5901630118489265,0.1814669859217072
10,2,H,2,21,0.5922284796833992,0.17961724503080373
10,2,H,2,22,0.0,0.0
10,2,H,2,23,0.0,0.0
10,2,H,3,0,0.24153181165456772,0.11839050881990873
10,2,H,3,1,0.5806002736091613,0.18312204447848104
10,2,H,3,2,0.0,0.0
10,2,H,3,3,0.23710732087492942,0.12102250356308686
10,2,H,3,4,0.5858993873000145,0.17875290139335936
10,2,H,3,5,0.5902341291308403,0.17826468892143738
10,2,H,3,6,0.0,0.0
10,2,H,3,7,0.4140775427222252,0.17733875844472863
10,2,H,3,8,0.0,0.0
10,2,H,3,9,0.0,0.0
10,2,H,3,10,0.5916474729776382,0.17988770500820483
10,2,H,3,11,0.41371026560664176,0.17915391799885177
10,2,H,3,12,0.0,0.0
10,2,H,3,13,0.0,0.0
10,2,H,3,14,0.0,0.0
10,2,H,3,15,0.0,0.0
10,2,H,3,16,0.5901621848344802,0.1779420832687068
10,2,H,3,17,0.06414641365408898,0.00012232198171862273
10,2,H,3,18,0.24195572659373282,0.1201491631916495
10,2,H,3,19,0.23392970860004425,0.12158894660703838
10,2,H,3,20,0.7557129755616188,0.12506104634623755
10,2,H,3,21,0.9321810841560364,6.517020157446041e-06
10,2,H,3,22,0.0,0.0
10,2,H,3,23,0.0,0.0
10,2,H,4,0,0.4108932867646217,0.18230370745424734
10,2,H,4,1,0.0,0.0
10,2,H,4,2,0.4145906776189804,0.17704867352624296
10,2,H,4,3,0.0,0.0
10,2,H,4,4,0.7610473364591599,0.11825805907079998
10,2,H,4,5,0.41861218512058257,0.18213117965723025
10,2,H,4,6,0.23426568731665612,0.12444355797800757
10,2,H,4,7,0.7616163611412048,0.12379278767429072
10,2,H,4,8,0.0,0.0
10,2,H,4,9,0.0,0.0
10,2,H,4,10,0.0,0.0
10,2,H,4,11,0.0,0.0
10,2,H,4,12,0.5926956877112388,0.18387337088224803
10,2,H,4,13,0.41430301815271375,0.17703814597188894
10,2,H,4,14,0.0,0.0
10,2,H,4,15,0.0,0.0
10,2,H,4,16,0.0,0.0
10,2,H,4,17,0.0,0.0
10,2,H,4,18,0.5929665684700012,0.18016216369740506
10,2,H,4,19,0.23847626894712448,0.12187026880152226
10,2,H,4,20,0.7569742769002914,0.1195475861374373
10,2,H,4,21,0.5875292107462883,0.17644873463144345
10,2,H,4,22,0.41324507519602777,0.17911264438240707
10,2,H,4,23,0.24281856715679168,0.118192970391089
10,2,H,5,0,0.5920041531324387,0.18004470401186828
10,2,H,5,1,0.0,0.0
10,2,H,5,2,0.9407845973968506,7.061276882978973e-05
10,2,H,5,3,0.0,0.0
10,2,H,5,4,0.5866019949316978,0.17796259809070727
10,2,H,5,5,0.4172214806079865,0.18005513944378868
10,2,H,5,6,0.4154313147068024,0.1769693793539592
10,2,H,5,7,0.41655348539352416,0.17780472529786948
10,2,H,5,8,0.0,0.0
10,2,H,5,9,0.0,0.0
10,2,H,5,10,0.0,0.0
10,2,H,5,11,0.0,0.0
10,2,H,5,12,0.41678003668785096,0.1781020686261583
10,2,H,5,13,0.41348060965538025,0.17988031790865894
10,2,H,5,14,0.0,0.0
10,2,H,5,15,0.0,0.0
10,2,H,5,16,0.0,0.0
10,2,H,5,17,0.0,0.0
10,2,H,5,18,0.24239654392004012,0.11811679845877048
10,2,H,5,19,0.41576735526323316,0.1761442431376002
10,2,H,5,20,0.41202363818883897,0.17898024136436133
10,2,H,5,21,0.41860729902982713,0.18226955462896047
10,2,H,5,22,0.24422066211700438,0.11783674111160576
10,2,H,5,23,0.41700644195079806,0.17757562045244282
10,2,H,6,0,0.0,0.0
10,2,H,6,1,0.5889445692300797,0.1771876973630216
10,2,H,6,2,0.5884356826543808,0.1774032673497431
10,2,H,6,3,0.41263958513736726,0.18018486427471542
10,2,H,6,4,0.24427510201931,0.1187287025591159
10,2,H,6,5,0.0,0.0
10,2,H,6,6,0.06812973618507386,6.142997368088209e-06
10,2,H,6,7,0.24357251673936844,0.11796152023744526
10,2,H,6,8,0.0,0.0
10,2,H,6,9,0.0,0.0
10,2,H,6,10,0.0,0.0
10,2,H,6,11,0.0,0.0
10,2,H,6,12,0.0,0.0
10,2,H,6,13,0.0,0.0
10,2,H,6,14,0.243244531750679,0.11980376212313719
10,2,H,6,15,0.40880766585469247,0.1804895321891118
10,2,H,6,16,0.5903941571712494,0.18017991661836025
10,2,H,6,17,0.4145929992198944,0.17726091752440146
10,2,H,6,18,0.0,0.0
10,2,H,6,19,0.0,0.0
10,2,H,6,20,0.5858703106641769,0.17886235458592595
10,2,H,6,21,0.581792862713337,0.18169573851591042
10,2,H,6,22,0.7596316404640675,0.12200189556594702
10,2,H,6,23,0.5865989059209824,0.17716040212858264
10,2,H,7,0,0.0,0.0
10,2,H,7,1,0.4156837224960327,0.17805339194287834
10,2,H,7,2,0.4116070866584778,0.17956352639730572
10,2,H,7,3,0.5889335855841636,0.17851458489945665
10,2,H,7,4,0.7630758687853814,0.11899238789494193
10,2,H,7,5,0.0,0.0
10,2,H,7,6,0.5889164954423904,0.1782062141590453
10,2,H,7,7,0.4146331652998924,0.18058680325717275
10,2,H,7,8,0.0,0.0
10,2,H,7,9,0.0,0.0
10,2,H,7,10,0.0,0.0
10,2,H,7,11,0.0,0.0
10,2,H,7,12,0.0,0.0
10,2,H,7,13,0.0,0.0
10,2,H,7,14,0.5847806498408318,0.17841842160948254
10,2,H,7,15,0.06838837042450904,1.3486318340070192e-05
10,2,H,7,16,0.41679842323064803,0.17837776068659555
10,2,H,7,17,0.585026639699936,0.18145755146377324
10,2,H,7,18,0.0,0.0
10,2,H,7,19,0.0,0.0
10,2,H,7,20,0.4088194265961647,0.1809841477457743
10,2,H,7,21,0.06658855453133583,0.00013493112606667302
10,2,H,7,22,0.4155057117342949,0.17792277238056847
10,2,H,7,23,0.06876180469989776,6.550520861035026e-06
20,3,C,0,0,0.21988697126507759,0.027376466801129744
20,3,C,0,1,0.7769285559654235,0.0115214624044404
20,3,C,0,2,0.27882941961288454,0.1159319464648024
20,3,C,0,3,0.7562036156654358,0.009764247538124379
20,3,C,0,4,0.7565093643963337,0.12153290427941059
20,3,C,0,5,0.2957619845867157,0.0987934568487702
20,3,C,0,6,0.0,0.0
20,3,C,0,7,0.5834358893334866,0.18103087894587538
20,3,C,0,8,0.7592297121882439,0.12350855144377437
20,3,C,0,9,0.0,0.0
20,3,C,0,10,0.41804232597351076,0.15889573794477918
20,3,C,0,11,0.5851711750030517,0.17519086862964123
20,3,C,0,12,0.7525294065475464,0.013561343446721136
20,3,C,0,13,0.7430433943867684,0.1234092219730359
20,3,C,0,14,0.0,0.0
20,3,C,0,15,0.0,0.0
20,3,C,0,16,0.0,0.0
20,3,C,0,17,0.5647753223776817,0.1748225386388701
20,3,C,0,18,0.7187525153160095,0.006944131374658581
20,3,C,0,19,0.8011230587959289,0.0029059799168132372
20,3,C,0,20,0.5931323617696762,0.18169770082215136
20,3,C,0,21,0.0,0.0
20,3,C,0,22,0.4165808349847794,0.18135866024022812
20,3,C,0,23,0.8270711421966552,0.0026019066620597184
20,3,C,1,0,0.742151427268982,0.005606022408230728
20,3,C,1,1,0.2554951779544353,0.1191238559006486
20,3,C,1,2,0.7600580945611,0.12094922355950635
20,3,C,1,3,0.5567260429263114,0.15136591985387102
20,3,C,1,4,0.3092230767011642,0.09950071668092213
20,3,C,1,5,0.8002255082130432,0.004022810913723732
20,3,C,1,6,0.41311661899089813,0.17663707249236632
20,3,C,1,7,0.08879135102033615,0.001491701060197994
20,3,C,1,8,0.0,0.0
20,3,C,1,9,0.753454402089119,0.12033975772258518
20,3,C,1,10,0.41524653807282447,0.18307363962739856
20,3,C,1,11,0.0,0.0
20,3,C,1,12,0.4025349274277687,0.18391289397391783
20,3,C,1,13,0.752872908115387,0.01378146088348814
20,3,C,1,14,0.7337793380022049,0.11012304893488793
20,3,C,1,15,0.0,0.0
20,3,C,1,16,0.0,0.0
20,3,C,1,17,0.0,0.0
20,3,C,1,18,0.629957988485694,0.09490958246142478
20,3,C,1,19,0.7756515979766846,0.003981020897679741
20,3,C,1,20,0.8617167353630066,0.002570960946090964
20,3,C,1,21,0.5895793154835701,0.17986606138139938
20,3,C,1,22,0.0,0.0
20,3,C,1,23,0.7557521276175976,0.12587605928865497
20,3,C,2,0,0.2520985662937164,0.11045709467307455
20,3,C,2,1,0.7650283589959145,0.11963267346402588
20,3,C,2,2,0.0,0.0
20,3,C,2,3,0.5918548598885536,0.18015174206942697
20,3,C,2,4,0.7853175520896911,0.0040088253489776095
