feature_key,feature_node_type,target,gt_signed,explainer_score,gt_rank,explainer_rank
orb_charge_loew_s_H,H,C,-0.008186,0.42738327383995056,15,36
orb_charge_mull_d_C,C,C,0.013284,0.5024024248123169,6,10
orb_charge_mull_p_C,C,C,-0.061055,0.5033106803894043,41,9
orb_charge_mull_p_H,H,C,-0.000512,0.44355902075767517,12,31
orb_charge_mull_s_C,C,C,-0.085195,0.5176189541816711,46,4
orb_charge_mull_s_H,H,C,-0.020716,0.439176082611084,20,33
orb_stdev_loew_p_C,C,C,-0.062539,0.5121721029281616,42,6
orb_stdev_mull_p_C,C,C,-0.073722,0.49284490942955017,45,14
shielding_dia_C,C,C,-0.014516,0.4683231711387634,19,25
shielding_dia_H,H,C,-0.005199,0.40397441387176514,13,44
shielding_para_C,C,C,0.008001,0.5083379745483398,7,8
shielding_para_H,H,C,0.035092,0.45095664262771606,2,29
shift_low_C,C,C,0.027264,0.5105872750282288,3,7
shift_low_H,H,C,-0.006431,0.4581158459186554,14,27
skew_C,C,C,0.000123,0.49613726139068604,11,13
skew_H,H,C,-0.057067,0.40180522203445435,37,45
span_C,C,C,0.015418,0.4856976568698883,5,17
span_H,H,C,0.038371,0.4397391676902771,1,32
