mask_variant, sparsity_target, method              , node_type, fid_plus_model_mean , fid_plus_model_std  , fid_plus_model_count, fid_minus_model_mean, fid_minus_model_std  , fid_minus_model_count, n_nodes, n_graphs
scientific  ,             0.9, integrated_gradients, H        , 0.04851849603912105 , 0.053740666581025144,                  115, 0.017161485682363097, 0.021171143426613886 ,                   115,     115,       13
zero        ,             0.5, gnnexplainer        , C        , 4.1774066636959715  , 2.917640579368283   ,                   72, 1.6544614674316511  , 1.574088129482511    ,                    72,      72,       15
zero        ,             0.5, integrated_gradients, C        , 3.6877167211337523  , 2.6166235425322477  ,                   66, 0.27206237997972604 , 0.29789118298140566  ,                    66,      66,       13
zero        ,             0.5, gnnexplainer        , H        , 0.09785727391293807 , 0.06493600840234677 ,                  129, 0.04630777118510978 , 0.037033606912131485 ,                   129,     129,       15
zero        ,             0.5, integrated_gradients, H        , 0.056548206087039865, 0.055561086637646556,                  115, 0.011291419909052226, 0.008336073428612954 ,                   115,     115,       13
zero        ,             0.6, gnnexplainer        , C        , 4.619277353915903   , 2.9565891466839673  ,                   72, 2.564840648737219   , 2.369265260197685    ,                    72,      72,       15
zero        ,             0.6, integrated_gradients, C        , 3.539105609059334   , 2.640889758527038   ,                   66, 0.3343654715202071  , 0.3162840358531266   ,                    66,      66,       13
zero        ,             0.6, gnnexplainer        , H        , 0.11382208894505057 , 0.06676538411630376 ,                  129, 0.07631051523047824 , 0.053852838875466914 ,                   129,     129,       15
zero        ,             0.6, integrated_gradients, H        , 0.05742599358377249 , 0.061219575901983424,                  115, 0.015517410117646922, 0.013321809322235728 ,                   115,     115,       13
zero        ,             0.7, gnnexplainer        , C        , 4.7676663183503685  , 2.948608339513196   ,                   72, 2.429092879821029   , 2.1823276769419975   ,                    72,      72,       15
zero        ,             0.7, integrated_gradients, C        , 3.439028073892449   , 2.672099559668973   ,                   66, 0.4063087266051408  , 0.4136856443862399   ,                    66,      66,       13
zero        ,             0.7, gnnexplainer        , H        , 0.10828674691476563 , 0.06326966940175073 ,                  129, 0.08934480971259665 , 0.06204201243223719  ,                   129,     129,       15
zero        ,             0.7, integrated_gradients, H        , 0.0561618860649026  , 0.06406527017848047 ,                  115, 0.021014897525310515, 0.015114986708686462 ,                   115,     115,       13
zero        ,             0.8, gnnexplainer        , C        , 3.608230075902409   , 2.6454090005634825  ,                   72, 1.7102527999215655  , 1.6473107392502984   ,                    72,      72,       15
zero        ,             0.8, integrated_gradients, C        , 3.4683893182964036  , 2.7798106585065945  ,                   66, 0.5690949981411298  , 0.5686840159521197   ,                    66,      66,       13
zero        ,             0.8, gnnexplainer        , H        , 0.08641487056779307 , 0.06054961376473126 ,                  129, 0.06668047344153241 , 0.053974349987985566 ,                   129,     129,       15
zero        ,             0.8, integrated_gradients, H        , 0.05254703478320785 , 0.05859473013466245 ,                  115, 0.024077449900948483, 0.01848875634500813  ,                   115,     115,       13
zero        ,             0.9, gnnexplainer        , C        , 1.8436371079749532  , 1.9588642928681654  ,                   72, 1.939236526377499   , 1.7063186660243452   ,                    72,      72,       15
zero        ,             0.9, integrated_gradients, C        , 3.1979594361601453  , 2.518152875507952   ,                   66, 0.6774356805465438  , 0.7881644442233976   ,                    66,      66,       13
zero        ,             0.9, gnnexplainer        , H        , 0.04532843868630801 , 0.031053225751018678,                  129, 0.043364671946958054, 0.042908007016992364 ,                   129,     129,       15
zero        ,             0.9, integrated_gradients, H        , 0.04901490872320922 , 0.05112702632288488 ,                  115, 0.029190822496362356, 0.02539397425379767  ,                   115,     115,       13
