graph_idx,node_type,node_idx,method,sparsity_target,pred_orig,pred_drop,pred_keep,target,error_orig,error_drop,error_keep,fid_plus_model,fid_minus_model,fid_plus_error_delta,fid_minus_error_delta,n_edges_considered,k_edges,actual_sparsity_edge,grid_run_id,mask_variant,sparsity_target_requested
330,C,0,gnnexplainer,0.5,-1.6009703874588013,-3.9097278118133545,-1.3524988889694214,-1.5042518377304077,0.09671854972839355,2.4054759740829468,0.15175294876098633,2.3087574243545532,0.24847149848937988,2.3087574243545532,0.05503439903259277,22,11,0.5,run_01_s50_zero,zero,0.5
330,C,1,gnnexplainer,0.5,-1.3574010133743286,-3.4211831092834473,-1.453818917274475,-1.1874029636383057,0.16999804973602295,2.2337801456451416,0.26641595363616943,2.0637820959091187,0.09641790390014648,2.0637820959091187,0.09641790390014648,22,11,0.5,run_01_s50_zero,zero,0.5
330,C,2,gnnexplainer,0.5,-6.480936527252197,-6.88272762298584,-6.862518787384033,-7.547578811645508,1.0666422843933105,0.664851188659668,0.6850600242614746,0.4017910957336426,0.38158226013183594,-0.4017910957336426,-0.38158226013183594,22,11,0.5,run_01_s50_zero,zero,0.5
360,H,0,gnnexplainer,0.5,-0.33236026763916016,-0.15545719861984253,-0.32542601227760315,-0.3191285729408264,0.01323169469833374,0.1636713743209839,0.006297439336776733,0.17690306901931763,0.006934255361557007,0.15043967962265015,-0.006934255361557007,24,12,0.5,run_01_s50_zero,zero,0.5
360,H,1,gnnexplainer,0.5,-0.342712938785553,-0.15617719292640686,-0.3362368047237396,-0.26153138279914856,0.08118155598640442,0.1053541898727417,0.07470542192459106,0.18653574585914612,0.0064761340618133545,0.02417263388633728,-0.0064761340618133545,24,12,0.5,run_01_s50_zero,zero,0.5
360,H,2,gnnexplainer,0.5,-0.14684848487377167,-0.04367057606577873,-0.14740079641342163,-0.1154087483882904,0.03143973648548126,0.07173817232251167,0.031992048025131226,0.10317790880799294,0.0005523115396499634,0.04029843583703041,0.0005523115396499634,24,12,0.5,run_01_s50_zero,zero,0.5
360,H,3,gnnexplainer,0.5,-0.14511096477508545,-0.053189121186733246,-0.13323667645454407,-0.14733904600143433,0.002228081226348877,0.09414992481470108,0.014102369546890259,0.0919218435883522,0.011874288320541382,0.0919218435883522,0.011874288320541382,24,12,0.5,run_01_s50_zero,zero,0.5
360,H,4,gnnexplainer,0.5,-0.13666847348213196,-0.03682776913046837,-0.11739595234394073,-0.11875949054956436,0.017908982932567596,0.08193172141909599,0.0013635382056236267,0.09984070435166359,0.019272521138191223,0.0640227384865284,-0.01654544472694397,24,12,0.5,run_01_s50_zero,zero,0.5
360,H,5,gnnexplainer,0.5,-0.1832352876663208,-0.11204531043767929,-0.19490694999694824,-0.16926804184913635,0.013967245817184448,0.05722273141145706,0.02563890814781189,0.07118997722864151,0.011671662330627441,0.043255485594272614,0.011671662330627441,24,12,0.5,run_01_s50_zero,zero,0.5
360,H,6,gnnexplainer,0.5,-0.17076992988586426,-0.09812070429325104,-0.1936740279197693,-0.20832136273384094,0.037551432847976685,0.1102006584405899,0.014647334814071655,0.07264922559261322,0.02290409803390503,0.07264922559261322,-0.02290409803390503,24,12,0.5,run_01_s50_zero,zero,0.5
360,C,0,gnnexplainer,0.5,-3.523756980895996,-2.346367359161377,-4.52439022064209,-4.043220043182373,0.519463062286377,1.696852684020996,0.4811701774597168,1.1773896217346191,1.0006332397460938,1.1773896217346191,-0.038292884826660156,24,12,0.5,run_01_s50_zero,zero,0.5
