graph_idx,node_type,node_idx,method,sparsity_target,mask_baseline_mode,ig_baseline_mode,pred_orig,pred_drop,pred_keep,target,error_orig,error_drop,error_keep,fid_plus_model,fid_minus_model,fid_plus_error_delta,fid_minus_error_delta,n_features,k_features,actual_sparsity_feat,n_features_target,k_features_target,grid_run_id,mask_variant,sparsity_target_requested
50,C,1,integrated_gradients,0.5,zero,scientific,-2.626781463623047,-5.7732038497924805,-2.4305131435394287,-2.7032065391540527,0.07642507553100586,3.0699973106384277,0.272693395614624,3.1464223861694336,0.19626832008361816,2.993572235107422,0.19626832008361816,498,256,0.48594377510040165,39,20,run_01_s50_zero,zero,0.5
50,C,2,gnnexplainer,0.5,zero,scientific,-2.6187326908111572,-1.7561333179473877,-5.145114421844482,-3.0836172103881836,0.46488451957702637,1.327483892440796,2.061497211456299,0.8625993728637695,2.526381731033325,0.8625993728637695,1.5966126918792725,498,256,0.48594377510040165,39,20,run_01_s50_zero,zero,0.5
50,C,2,integrated_gradients,0.5,zero,scientific,-2.6187326908111572,-5.102201461791992,-2.2116527557373047,-3.0836172103881836,0.46488451957702637,2.0185842514038086,0.8719644546508789,2.483468770980835,0.40707993507385254,1.5536997318267822,0.40707993507385254,498,256,0.48594377510040165,39,20,run_01_s50_zero,zero,0.5
50,C,3,gnnexplainer,0.5,zero,scientific,-12.352452278137207,-3.7905924320220947,-12.884949684143066,-11.829119682312012,0.5233325958251953,8.038527250289917,1.0558300018310547,8.561859846115112,0.5324974060058594,7.515194654464722,0.5324974060058594,498,256,0.48594377510040165,39,20,run_01_s50_zero,zero,0.5
50,C,3,integrated_gradients,0.5,zero,scientific,-12.352452278137207,-4.961817741394043,-11.709147453308105,-11.829119682312012,0.5233325958251953,6.867301940917969,0.11997222900390625,7.390634536743164,0.6433048248291016,6.343969345092773,-0.40336036682128906,498,256,0.48594377510040165,39,20,run_01_s50_zero,zero,0.5
50,C,4,gnnexplainer,0.5,zero,scientific,-12.56570053100586,-3.936293363571167,-14.352242469787598,-12.671215057373047,0.1055145263671875,8.73492169380188,1.6810274124145508,8.629407167434692,1.7865419387817383,8.629407167434692,1.5755128860473633,498,256,0.48594377510040165,39,20,run_01_s50_zero,zero,0.5
50,C,4,integrated_gradients,0.5,zero,scientific,-12.56570053100586,-4.807519435882568,-12.898552894592285,-12.671215057373047,0.1055145263671875,7.8636956214904785,0.22733783721923828,7.758181095123291,0.3328523635864258,7.758181095123291,0.12182331085205078,498,256,0.48594377510040165,39,20,run_01_s50_zero,zero,0.5
50,C,5,gnnexplainer,0.5,zero,scientific,-1.2540905475616455,-5.8214521408081055,-0.8746886849403381,-1.9315294027328491,0.6774388551712036,3.8899227380752563,1.056840717792511,4.56736159324646,0.3794018626213074,3.2124838829040527,0.3794018626213074,498,256,0.48594377510040165,39,20,run_01_s50_zero,zero,0.5
50,C,5,integrated_gradients,0.5,zero,scientific,-1.2540905475616455,-4.956428527832031,-1.0890108346939087,-1.9315294027328491,0.6774388551712036,3.024899125099182,0.8425185680389404,3.7023379802703857,0.16507971286773682,2.3474602699279785,0.16507971286773682,498,256,0.48594377510040165,39,20,run_01_s50_zero,zero,0.5
170,H,0,gnnexplainer,0.5,zero,scientific,-0.08065252006053925,-0.12823471426963806,-0.05054672434926033,-0.026961499825119972,0.05369102023541927,0.10127321444451809,0.023585224524140358,0.047582194209098816,0.030105795711278915,0.047582194209098816,-0.030105795711278915,662,340,0.48640483383685795,33,17,run_01_s50_zero,zero,0.5
170,H,0,integrated_gradients,0.5,zero,scientific,-0.08065252006053925,-0.06910855323076248,-0.08368739485740662,-0.026961499825119972,0.05369102023541927,0.04214705340564251,0.056725895032286644,0.011543966829776764,0.0030348747968673706,-0.011543966829776764,0.0030348747968673706,662,340,0.48640483383685795,33,17,run_01_s50_zero,zero,0.5
170,H,1,gnnexplainer,0.5,zero,scientific,-0.08064423501491547,-0.1282976269721985,-0.059067536145448685,-0.027961499989032745,0.05268273502588272,0.10033612698316574,0.03110603615641594,0.04765339195728302,0.02157669886946678,0.04765339195728302,-0.02157669886946678,662,340,0.48640483383685795,33,17,run_01_s50_zero,zero,0.5
170,H,1,integrated_gradients,0.5,zero,scientific,-0.08064423501491547,-0.06910855323076248,-0.08368206024169922,-0.027961499989032745,0.05268273502588272,0.041147053241729736,0.05572056025266647,0.011535681784152985,0.0030378252267837524,-0.011535681784152985,0.0030378252267837524,662,340,0.48640483383685795,33,17,run_01_s50_zero,zero,0.5
170,H,2,gnnexplainer,0.5,zero,scientific,-0.08063553273677826,-0.1353912055492401,-0.0847507119178772,-0.027961499989032745,0.052674032747745514,0.10742970556020737,0.05678921192884445,0.05475567281246185,0.004115179181098938,0.05475567281246185,0.004115179181098938,662,340,0.48640483383685795,33,17,run_01_s50_zero,zero,0.5
170,H,2,integrated_gradients,0.5,zero,scientific,-0.08063553273677826,-0.06908669322729111,-0.08367945998907089,-0.027961499989032745,0.052674032747745514,0.04112519323825836,0.05571796000003815,0.011548839509487152,0.003043927252292633,-0.011548839509487152,0.003043927252292633,662,340,0.48640483383685795,33,17,run_01_s50_zero,zero,0.5
170,H,3,gnnexplainer,0.5,zero,scientific,-0.08062697947025299,-0.1417134404182434,-0.0648438110947609,-0.026961499825119972,0.05366547964513302,0.11475194059312344,0.03788231126964092,0.06108646094799042,0.015783168375492096,0.06108646094799042,-0.015783168375492096,662,340,0.48640483383685795,33,17,run_01_s50_zero,zero,0.5
170,H,3,integrated_gradients,0.5,zero,scientific,-0.08062697947025299,-0.06908669322729111,-0.08367432653903961,-0.026961499825119972,0.05366547964513302,0.042125193402171135,0.05671282671391964,0.011540286242961884,0.003047347068786621,-0.011540286242961884,0.003047347068786621,662,340,0.48640483383685795,33,17,run_01_s50_zero,zero,0.5
170,H,4,gnnexplainer,0.5,zero,scientific,-0.07791470736265182,-0.0783974826335907,-0.03446216136217117,-0.027961499989032745,0.04995320737361908,0.05043598264455795,0.006500661373138428,0.0004827752709388733,0.04345254600048065,0.0004827752709388733,-0.04345254600048065,662,340,0.48640483383685795,33,17,run_01_s50_zero,zero,0.5
170,H,4,integrated_gradients,0.5,zero,scientific,-0.07791470736265182,-0.07143975794315338,-0.07105442136526108,-0.027961499989032745,0.04995320737361908,0.043478257954120636,0.04309292137622833,0.006474949419498444,0.006860285997390747,-0.006474949419498444,-0.006860285997390747,662,340,0.48640483383685795,33,17,run_01_s50_zero,zero,0.5
170,H,5,gnnexplainer,0.5,zero,scientific,-0.07790467888116837,-0.09739048033952713,-0.03799452632665634,-0.026961499825119972,0.05094317905604839,0.07042898051440716,0.01103302650153637,0.019485801458358765,0.039910152554512024,0.019485801458358765,-0.039910152554512024,662,340,0.48640483383685795,33,17,run_01_s50_zero,zero,0.5
170,H,5,integrated_gradients,0.5,zero,scientific,-0.07790467888116837,-0.07143975794315338,-0.07104285061359406,-0.026961499825119972,0.05094317905604839,0.04447825811803341,0.04408135078847408,0.006464920938014984,0.00686182826757431,-0.006464920938014984,-0.00686182826757431,662,340,0.48640483383685795,33,17,run_01_s50_zero,zero,0.5
170,H,6,gnnexplainer,0.5,zero,scientific,-0.07790350168943405,-0.10340359807014465,-0.049887869507074356,-0.026961499825119972,0.05094200186431408,0.07644209824502468,0.022926369681954384,0.025500096380710602,0.028015632182359695,0.025500096380710602,-0.028015632182359695,662,340,0.48640483383685795,33,17,run_01_s50_zero,zero,0.5
170,H,6,integrated_gradients,0.5,zero,scientific,-0.07790350168943405,-0.07143699377775192,-0.07104365527629852,-0.026961499825119972,0.05094200186431408,0.04447549395263195,0.04408215545117855,0.006466507911682129,0.0068598464131355286,-0.006466507911682129,-0.0068598464131355286,662,340,0.48640483383685795,33,17,run_01_s50_zero,zero,0.5
