graph_idx,node_type,node_idx,method,sparsity_target,pred_orig,pred_drop,pred_keep,target,error_orig,error_drop,error_keep,fid_plus_model,fid_minus_model,fid_plus_error_delta,fid_minus_error_delta,n_edges_considered,k_edges,actual_sparsity_edge
170,H,7,gnnexplainer,0.8,-0.07790827751159668,-0.11127220094203949,-0.0660603791475296,-0.02896150015294552,0.04894677735865116,0.08231070078909397,0.037098878994584084,0.03336392343044281,0.011847898364067078,0.03336392343044281,-0.011847898364067078,42,9,0.7857142857142857
170,H,8,gnnexplainer,0.8,-0.07964935898780823,-0.11230801790952682,-0.08940637111663818,-0.02691764011979103,0.0527317188680172,0.0853903777897358,0.06248873099684715,0.0326586589217186,0.009757012128829956,0.0326586589217186,0.009757012128829956,42,9,0.7857142857142857
170,H,9,gnnexplainer,0.8,-0.0796414166688919,-0.1004861518740654,-0.10971852391958237,-0.025917639955878258,0.05372377671301365,0.07456851191818714,0.08380088396370411,0.020844735205173492,0.03007710725069046,0.020844735205173492,0.03007710725069046,42,9,0.7857142857142857
170,H,10,gnnexplainer,0.8,-0.07964157313108444,-0.08993898332118988,-0.1089668869972229,-0.025917639955878258,0.053723933175206184,0.06402134336531162,0.08304924704134464,0.010297410190105438,0.029325313866138458,0.010297410190105438,0.029325313866138458,42,9,0.7857142857142857
170,H,11,gnnexplainer,0.8,-0.07965811342000961,-0.09469003230333328,-0.0796108990907669,-0.02896150015294552,0.050696613267064095,0.06572853215038776,0.05064939893782139,0.01503191888332367,4.72143292427063e-05,0.01503191888332367,-4.72143292427063e-05,42,9,0.7857142857142857
170,C,0,gnnexplainer,0.8,-2.0284276008605957,-3.0644190311431885,-2.159240484237671,-2.175614595413208,0.1471869945526123,0.8888044357299805,0.01637411117553711,1.0359914302825928,0.1308128833770752,0.7416174411773682,-0.1308128833770752,42,9,0.7857142857142857
170,C,1,gnnexplainer,0.8,-2.0285582542419434,-2.668637275695801,-1.927679419517517,-2.1761586666107178,0.14760041236877441,0.492478609085083,0.24847924709320068,0.6400790214538574,0.10087883472442627,0.3448781967163086,0.10087883472442627,42,9,0.7857142857142857
170,C,2,gnnexplainer,0.8,-2.1927924156188965,-2.5228939056396484,-1.7325618267059326,-2.1926145553588867,0.00017786026000976562,0.3302793502807617,0.4600527286529541,0.33010149002075195,0.46023058891296387,0.33010149002075195,0.45987486839294434,42,9,0.7857142857142857
170,C,3,gnnexplainer,0.8,-2.1926939487457275,-2.4783151149749756,-2.174729347229004,-2.179614543914795,0.013079404830932617,0.29870057106018066,0.004885196685791016,0.28562116622924805,0.017964601516723633,0.28562116622924805,-0.008194208145141602,42,9,0.7857142857142857
170,C,4,gnnexplainer,0.8,-2.0527212619781494,-2.8578763008117676,-2.1442949771881104,-2.1881580352783203,0.1354367733001709,0.6697182655334473,0.04386305809020996,0.8051550388336182,0.09157371520996094,0.5342814922332764,-0.09157371520996094,42,9,0.7857142857142857
